t,phi,omega,mu
4.000000000000002,-0.3047896807573053,0.19407787360955825,0.04656198125761905
4.100000000000001,-0.28538189339634945,0.19873540344912052,0.04657529839562281
4.200000000000001,-0.2655083530514374,0.20339457773395234,0.04659174284831809
4.300000000000001,-0.24516889527804214,0.20805565397228276,0.046610762383304374
4.4,-0.22436332988081387,0.21271889806554578,0.04663244093263007
4.5,-0.20309144007425928,0.21738458320679785,0.04665685141252064
4.6,-0.1813529817535795,0.2220528858689872,0.0466830266218934
4.699999999999999,-0.1591476931666808,0.22672403256960905,0.04671146700621866
4.799999999999999,-0.13647528990971988,0.23139827180040984,0.04674239230800785
4.899999999999999,-0.1133354627296789,0.23607573100054505,0.04677459200135205
4.999999999999998,-0.08972788962962439,0.24075665671833987,0.04680925717794836
5.099999999999998,-0.0656522239577904,0.2454412972562502,0.04684640537910319
5.1999999999999975,-0.04110809423216538,0.250129677517392,0.046883802611418376
5.299999999999997,-0.01609512648042618,0.25482201151890277,0.046923340015107604
5.399999999999997,0.009387074671464098,0.2595185492448726,0.04696537725969853
5.4999999999999964,0.03533892959595136,0.2524554431300998,-0.07063106114772791
5.599999999999996,0.06058447390896135,0.24536066519396388,-0.0709477793613593
5.699999999999996,0.08512054042835773,0.23823562356024358,-0.07125041633720293
5.799999999999995,0.10894410278438209,0.23108189014219027,-0.07153733418053303
5.899999999999995,0.13205229179860112,0.22390121999033186,-0.07180670151858415
5.999999999999995,0.1544424137976343,0.21669557350461752,-0.07205646485714343
6.099999999999994,0.17611197114809604,0.20946714204755762,-0.0722843145705989
6.199999999999994,0.19705868535285181,0.20221837759944816,-0.07248764448109457
6.299999999999994,0.21728052311279664,0.19495206947115024,-0.07266308128297934
6.399999999999993,0.23677573005991165,0.18767132611799736,-0.07280743353152874
6.499999999999993,0.2555428626717114,0.1803796361706796,-0.07291689947317759
6.5999999999999925,0.27358082628877933,0.17308092773032183,-0.07298708440357755
6.699999999999992,0.2908889190618115,0.16578021520345493,-0.07300712526866887
6.799999999999992,0.307466940582157,0.1584859364297718,-0.07294278773683138
6.8999999999999915,0.3233155342251342,0.15120458728988373,-0.07281349139888059
6.999999999999991,0.3384359929541226,0.1439416564665762,-0.07262930823307523
7.099999999999991,0.3528301586007802,0.1367018604025118,-0.07239796064064395
7.19999999999999,0.3665003446410314,0.12948941543070108,-0.07212444971810741
7.29999999999999,0.37944928618410145,0.12230785690756574,-0.07181558523135351
7.39999999999999,0.39168007187485804,0.11516032781982291,-0.07147529087742825
7.499999999999989,0.4031961046568403,0.10804953823924499,-0.07110789580577921
7.599999999999989,0.4140010584807648,0.10097786982259835,-0.07071668416646637
7.699999999999989,0.4240988454630246,0.09390385473740614,-0.07074015085192209
7.799999999999988,0.4334892309367652,0.08679107850370743,-0.07112776233698714
7.899999999999988,0.44216833878713596,0.07964186665823739,-0.0714921184547004
7.999999999999988,0.4501325254529597,0.07245891244706025,-0.07182954211177137
8.099999999999987,0.4573784166976657,0.06524534386964473,-0.07213568577415522
8.199999999999987,0.4639029510846302,0.05800468459869099,-0.07240659270953732
8.299999999999986,0.4697034195444993,0.05074108489740833,-0.07263599701282665
8.399999999999986,0.4747775280342401,0.04346247560953874,-0.07278609287869583
8.499999999999986,0.479123775595194,0.03618520612333856,-0.0727726948620018
8.599999999999985,0.48274229620752784,0.02890908665827327,-0.07276119465065291
8.699999999999985,0.48563320487335515,0.021633926357612125,-0.07275160300661143
8.799999999999985,0.48779659750911636,0.014359533465633982,-0.07274392891978143
8.899999999999984,0.48923255085567974,0.007085715506911167,-0.07273817958722814
8.999999999999984,0.48994112240637083,-0.00018772053273996992,-0.07273436039651136
9.099999999999984,0.48992235035309684,-0.004846978020009522,-0.04659257487269552
9.199999999999983,0.4894376525510959,-0.009506234482098305,-0.04659256462088782
9.299999999999983,0.48848702910288605,-0.014165464476719137,-0.046592299946208324
9.399999999999983,0.48707048265521413,-0.01882464257760126,-0.04659178100882122
9.499999999999982,0.485188018397454,-0.023483743389995478,-0.04659100812394218
9.599999999999982,0.4828396440584545,-0.028142741566131217,-0.04658998176135738
9.699999999999982,0.48002536990184136,-0.03280161182060195,-0.0465887025447073
9.799999999999981,0.47674520871978115,-0.037460328945655624,-0.04658717125053677
9.89999999999998,0.4729991758252156,-0.04211886782636701,-0.04658538880711381
9.99999999999998,0.46878728904257894,-0.04677720345566917,-0.04658335629302163
10.09999999999998,0.46410956869701203,-0.051435343134922505,-0.046581396792533314
10.19999999999998,0.4589660343835198,-0.05609328774788337,-0.046579446129608675
10.29999999999998,0.4533567056087315,-0.06075331007432566,-0.046600223264422924
10.399999999999979,0.4472813746012989,-0.06541597532603223,-0.04662665251706567
10.499999999999979,0.44073977706869566,-0.07008163356138718,-0.046656582353549504
10.599999999999978,0.4337316137125569,-0.07475057166142665,-0.04668938100039477
10.699999999999978,0.42625655654641426,-0.07942326268395337,-0.04672691022526721
10.799999999999978,0.4183142302780189,-0.084099961507473,-0.04676698823519617
10.899999999999977,0.4099042341272716,-0.08878084285371207,-0.04680881346239078
10.999999999999977,0.40102614984190044,-0.09346636332793566,-0.04685520474223584
11.099999999999977,0.39167951350910685,-0.09815671536844674,-0.046903520405110755
11.199999999999976,0.3818638419722622,-0.10285197580135864,-0.04695260432911901
11.299999999999976,0.37157864439212634,-0.10755259099710437,-0.047006151957457366
11.399999999999975,0.3608233852924159,-0.11225214578005153,-0.04699554782947158
11.499999999999975,0.3495981707144108,-0.11694637149832392,-0.04694225718272376
11.599999999999975,0.3379035335645784,-0.12163567028774733,-0.04689298789423411
11.699999999999974,0.32573996653580367,-0.12632021249250858,-0.0468454220476125
11.799999999999974,0.31310794528655284,-0.13100021789673383,-0.04680005404225242
11.899999999999974,0.30000792349687944,-0.13567603030581468,-0.04675812409080846
11.999999999999973,0.28644032046629797,-0.14034789357874902,-0.04671863272934344
12.099999999999973,0.2724055311084231,-0.14501613379852957,-0.04668240219780553
12.199999999999973,0.25790391772857013,-0.14968111620607216,-0.04664982407542587
12.299999999999972,0.24293580610796292,-0.15434316942416182,-0.04662053218089657
12.399999999999972,0.22750148916554674,-0.15900271811795316,-0.0465954869379134
12.499999999999972,0.21160121735375143,-0.1636602052501274,-0.0465748713217423
12.599999999999971,0.1952351968287387,-0.16831606918085648,-0.04655863930729077
12.69999999999997,0.17840358991065303,-0.17297085627847406,-0.046547870976175736
12.79999999999997,0.16110650428280562,-0.1776251399531147,-0.046542836746406684
12.89999999999997,0.14334399028749414,-0.18227946586334695,-0.04654325910232226
12.99999999999997,0.12511604370115945,-0.1869342498585096,-0.04654783995162643
13.09999999999997,0.10642261871530849,-0.19158985088229694,-0.04655601023787341
13.199999999999969,0.0872636336270788,-0.19624660478825176,-0.04656753905954826
13.299999999999969,0.06763897314825362,-0.20090481461347567,-0.046582098252239
13.399999999999968,0.04754849168690606,-0.20556478546877968,-0.04659970855303995
13.499999999999968,0.02699201314002809,-0.21022682102986673,-0.04662035561087057
13.599999999999968,0.005969331037041413,-0.21489115270352194,-0.04664331673655196
13.699999999999967,-0.015519784233310782,-0.21955801795043298,-0.046668652469110394
13.799999999999967,-0.03747558602835408,-0.2123870456251208,0.07170972325312176
13.899999999999967,-0.058714290590866164,-0.20519585508288163,0.07191190542239174
13.999999999999966,-0.07923387609915433,-0.197987215650647,0.07208639432234616
14.099999999999966,-0.09903259766421904,-0.19076423889185581,0.07222976758791201
14.199999999999966,-0.11810902155340462,-0.18353042708128328,0.07233811810572537
14.299999999999965,-0.13646206426153296,-0.17628973029480788,0.072406967864754
14.399999999999965,-0.15409103729101375,-0.16904661389903142,0.07243116395776468
14.499999999999964,-0.1709956986809169,-0.16180459787363083,0.07242016025400587
14.599999999999964,-0.18717615846827998,-0.15457040083502704,0.07234197038603778
14.699999999999964,-0.2026331985517827,-0.14735010057129083,0.07220300263736205
14.799999999999963,-0.21736820860891176,-0.14014914793918193,0.07200952632108913
14.899999999999963,-0.23138312340282996,-0.13297215941098137,0.0717698852820055
14.999999999999963,-0.2446803393439281,-0.1258231389382206,0.07149020472760749
15.099999999999962,-0.25726265323775016,-0.11870559892078666,0.07117540017433945
15.199999999999962,-0.26913321312982885,-0.11162256420012136,0.07083034720665306
15.299999999999962,-0.28029546954984097,-0.10457664509705807,0.0704591910306329
15.399999999999961,-0.2907531340595468,-0.09756854934870571,0.07008095748352351
15.499999999999961,-0.30050998899441733,-0.09052128401392487,0.07047265334780838
15.59999999999996,-0.3095621173958098,-0.08343717335680013,0.07084110657124733
15.69999999999996,-0.3179058347314898,-0.07631880328726653,0.07118370069533596
15.79999999999996,-0.32553771506021645,-0.06916917030055417,0.07149632986712369
15.89999999999996,-0.3324546320902719,-0.061991739095170244,0.07177431205383923
15.99999999999996,-0.3386538059997889,-0.05479049652618356,0.07201242568986684
16.09999999999996,-0.34413285565240725,-0.047570006718239445,0.07220489807944118
16.19999999999996,-0.3488898563242312,-0.04033571232198798,0.07234294396251466
16.29999999999996,-0.35292342755642997,-0.033093672919760016,0.07242039402227966
16.399999999999963,-0.356232794848406,-0.02585117500285183,0.07242497916908185
16.499999999999964,-0.35881791234869115,-0.01860882731977424,0.07242347683077589
16.599999999999966,-0.3606787950806686,-0.011366597014574008,0.07242230305200233
16.699999999999967,-0.36181545478212596,-0.004124451215408678,0.0724214579916533
16.79999999999997,-0.36222789990366683,0.003117642960964055,0.07242094176372733
16.89999999999997,-0.3619161356075704,0.007772296200047941,0.04654653239083885
16.99999999999997,-0.3611389059875656,0.012426944613244669,0.04654648413196728
17.099999999999973,-0.3598962115262411,0.017081580996181782,0.04654636382937112
17.199999999999974,-0.35818805342662297,0.02173619814627923,0.04654617150097447
17.299999999999976,-0.35601443361199503,0.02639078886382871,0.04654590717549477
17.399999999999977,-0.35337535472561216,0.031045345953071922,0.04654557089243212
17.49999999999998,-0.35027082013030497,0.03569986222327736,0.0465451627020544
17.59999999999998,-0.34670083390797723,0.040354330489815196,0.046544682665378326
17.69999999999998,-0.3426654008589957,0.045008998606647616,0.04654668116832421
17.799999999999983,-0.33816450099833095,0.04966464292079201,0.04655644314144393
17.899999999999984,-0.33319803670625175,0.054321818664197184,0.046571757434051744
17.999999999999986,-0.32776585483983206,0.05898101910792851,0.04659200443731325
18.099999999999987,-0.3218677529290392,0.06364260557314991,0.046615864652213915
18.19999999999999,-0.3155034923717242,0.06830705935671703,0.046644537835671226
18.29999999999999,-0.3086727864360525,0.07297477871901159,0.04667719362294563
18.39999999999999,-0.30137530856415135,0.0776459635506786,0.04671184831667015
18.499999999999993,-0.29361071220908347,0.08232106753194145,0.04675103981262847
18.599999999999994,-0.28537860545588933,0.08700042780925515,0.04679360277313714
18.699999999999996,-0.2766785626749638,0.09168408891967866,0.04683661110423511
18.799999999999997,-0.267510153782996,0.09637252314397833,0.04688434224299666
18.9,-0.25787290146859815,0.10106602341321401,0.0469350026923568
19.0,-0.24776629912727674,0.10576447344092735,0.0469845002771334
19.1,-0.237189851783184,0.11046599527472471,0.04701521833797369
19.200000000000003,-0.22614325225571152,0.11516231849741057,0.04696323222685854
19.300000000000004,-0.21462702040597048,0.11985335694757548,0.04691038450164907
19.400000000000006,-0.20264168471121294,0.12453965992966651,0.04686302982091027
19.500000000000007,-0.1901877187182463,0.1292214135855573,0.04681753655890809
19.60000000000001,-0.17726557735969056,0.13389871328999015,0.04677299704432851
19.70000000000001,-0.16387570603069154,0.13857204198109685,0.046733286911067054
19.80000000000001,-0.15001850183258186,0.14324165286485804,0.04669610883761195
19.900000000000013,-0.13569433654609606,0.1479077833199913,0.046661304551332536
20.000000000000014,-0.12090355821409693,0.15257091213860197,0.04663128818610669
20.100000000000016,-0.10564646700023674,0.15723138277096402,0.046604706323620584
20.200000000000017,-0.08992332872314034,0.16188956697552606,0.04658184204562037
20.30000000000002,-0.07373437202558773,0.16654599946097898,0.04656432485452923
20.40000000000002,-0.05707977207948983,0.1712011416026215,0.046551421416425334
20.50000000000002,-0.039959657919227676,0.17585552477229252,0.04654383169671013
20.600000000000023,-0.022374105441998422,0.18050978510436386,0.04654260332071335
20.700000000000024,-0.004323126931562036,0.18516436042105913,0.04654575316695282
20.800000000000026,0.014193309110543877,0.18981962397490978,0.04655263553850662
20.900000000000027,0.033175271508034856,0.18253080171135116,-0.07288822263558617
21.00000000000003,0.051428351679169974,0.17523372270227872,-0.07297079009072463
21.10000000000003,0.06895172394939784,0.16793265313853106,-0.07301069563747645
21.20000000000003,0.08574498926325096,0.16063580329423702,-0.07296849844294033
21.300000000000033,0.10180856959267466,0.1533499746695658,-0.07285828624671237
21.400000000000034,0.11714356705963125,0.14608109543711587,-0.07268879232449937
21.500000000000036,0.13175167660334283,0.13883403031986816,-0.07247065117247707
21.600000000000037,0.14563507963532965,0.13161312538136005,-0.07220904938508099
21.70000000000004,0.15879639217346567,0.1244221193578934,-0.0719100602346666
21.80000000000004,0.171238604109255,0.11726425782057086,-0.0715786153732254
21.90000000000004,0.1829650298913121,0.11014236936169884,-0.07121888458872011
22.000000000000043,0.19397926682748198,0.10305895611619587,-0.07083413245502977
22.100000000000044,0.20428516243910158,0.0959967871342615,-0.07062168981934364
22.200000000000045,0.21388484115252773,0.08889523532370747,-0.07101551810554038
22.300000000000047,0.22277436468489847,0.08175651396003718,-0.07138721363670295
22.40000000000005,0.23095001608090218,0.07458322861753099,-0.0717328534250619
22.50000000000005,0.23840833894265528,0.06737834467425886,-0.0720488394327212
22.60000000000005,0.24514617341008116,0.06014530085695151,-0.07233043817307357
22.700000000000053,0.2511607034957763,0.05288797222129663,-0.07257328635654876
22.800000000000054,0.25644950071790595,0.045611023795304254,-0.07276948425992381
